Period,Value
22-Feb,650522
22-Mar,664167
22-Apr,673245
22-May,671040
22-Jun,675702
22-Jul,671067
22-Aug,675107
22-Sep,673312
22-Oct,681748
22-Nov,673674
22-Dec,666734
23-Jan,693826
23-Feb,686434
23-Mar,678720
23-Apr,682592
23-May,685771
23-Jun,686757
23-Jul,690408
23-Aug,695476
23-Sep,701286
23-Oct,699977
23-Nov,700707
23-Dec,703256
